a,b,c,alpha,phi1,PHI,phi2,GrainID
0.13768,0.10935,0.13768,60,54.743,71.179,58.644,99
0.13768,0.10935,0.13768,60,30.772,105.21,121.92,100
0.11776,0.10209,0.11776,120,136.55,69.707,114.38,101
0.15782,0.11486,0.15782,90,14.637,141.28,162.44,102
0.16873,0.14351,0.16873,123.06,150.34,85.321,93.176,103
0.080789,0.080789,0.080789,179.75,256.59,131.2,151.39,104
0.13768,0.10935,0.13768,120,132.7,78.986,85.631,105
0.15751,0.15751,0.15751,0.78602,126.86,58.719,121.05,106
0.35331,0.19131,0.35331,101.79,322.46,147.78,66.725,107
0.26368,0.1604,0.26368,72.913,88.39,36.278,90.449,108
0.15558,0.096246,0.15558,78.436,2.8852,80.955,69.292,109
0.25859,0.13789,0.25859,1.4295,286.27,43.201,165.04,110
0.41139,0.19064,0.41139,150.75,160.76,78.833,304.56,111
0.13768,0.10935,0.13768,60,54.463,112.18,200.35,112
0.14835,0.12472,0.14835,30,54.662,35.781,199.27,113
0.78849,0.31532,0.78849,55.078,207.91,77.155,330.52,114
0.16068,0.13477,0.16068,60,56.449,35.265,198.06,115
0.15751,0.15751,0.15751,0.35141,53.965,110.95,198.34,116
0.14835,0.12472,0.14835,30,151.86,12.359,344.34,117
0.37815,0.18486,0.37815,89.945,55.001,73.109,58.438,118
0.13768,0.10935,0.13768,60,30.451,105.42,121.91,119
0.14013,0.084933,0.14013,60,231.53,143,156.27,120
0.15558,0.096246,0.15558,41.564,136.42,69.541,114.84,121
0.16422,0.11267,0.16422,60,323.72,35.011,242.79,122
0.14013,0.084933,0.14013,120,266.83,99.668,117.06,123
0.15782,0.11486,0.15782,150,163.72,51.488,205.27,124
0.15751,0.15751,0.15751,0,49.398,132.94,173.08,125
0.15751,0.15751,0.15751,179.59,53.867,113.52,247.22,126
0.17212,0.16816,0.17212,90,304.68,93.242,109.73,127
0.13768,0.10935,0.13768,120,211.22,46.841,6.3001,128
0.30382,0.1737,0.30382,115.37,266.62,160.87,55.096,129
0.13768,0.10935,0.13768,2.3916e-12,142.46,127.91,98.344,130
0.15782,0.11486,0.15782,30,334.85,93.801,209.56,131
0.15782,0.11486,0.15782,90,26.924,142.13,170.78,132
0.15782,0.11486,0.15782,30,180.55,14.018,253.78,133
0.2824,0.13916,0.2824,115.79,56.639,90.386,61.252,134
0.14013,0.084933,0.14013,60,214.92,61.19,164.34,135
0.15782,0.11486,0.15782,90,39.999,113.7,236.97,136
2.0026,0.81168,2.0026,79.232,337.69,103.1,194.74,137
0.14835,0.12472,0.14835,150,27.176,102.92,118.46,138
0.11776,0.10209,0.11776,120,51.798,111.17,199.13,139
