a,b,c,alpha,phi1,PHI,phi2,volume,,total volume
3.142294629,1.877065437,1.877065437,2.302351129,135.6525745,53.65802583,19.60504466,46.37611224,,
2.678083479,2.030882789,2.030882789,2.933707923,48.10566183,143.2092803,194.5051807,46.2681823,,
4.132580247,1.63408294,1.63408294,1.932156593,67.2925532,43.40299872,310.7346143,46.22299657,,
5.677011053,1.391181935,1.391181935,1.609266122,183.6695145,7.230164795,17.86079105,46.02313603,,
5.785524843,1.377568155,1.377568155,0.596423993,15.25738336,168.4930459,306.8021267,45.9893807,,
2.420344318,2.112245095,2.112245095,0.458524564,139.858132,170.0842462,34.82098049,45.23289484,,
3.640274745,1.715096048,1.715096048,1.141617872,1.906090097,84.21400795,343.4620137,44.8538436,,
5.75074771,1.35466242,1.35466242,0.435572201,342.0325766,72.62916893,100.6694656,44.20537618,,
2.599173301,1.972814575,1.972814575,0.537751215,178.829551,111.0730885,26.36798372,42.37369948,,
3.453815347,1.69280387,1.69280387,0.446834364,269.2726278,150.2114254,103.1313603,41.45729965,,
4.000369019,1.572617204,1.572617204,1.351658588,29.41235884,114.3224129,23.27346166,41.44142776,,
2.664500754,1.926857497,1.926857497,0.468603788,119.5692826,88.55264643,271.0128447,41.43846419,,
2.950535963,1.828199411,1.828199411,3.067109128,222.0126201,94.26819048,321.5519637,41.30823614,,
4.450150701,1.482583725,1.482583725,1.795951229,24.53577224,98.45834523,103.3702959,40.97337934,,
3.898358773,1.565759699,1.565759699,1.451574895,169.5817575,70.04845822,310.8603567,40.03323039,,
4.944110578,1.37214653,1.37214653,1.905660923,106.2351296,97.42929306,346.719767,38.99220259,,
4.042265923,1.51737315,1.51737315,2.195679879,1.302653435,161.5602504,254.5147517,38.9850665,,
3.453578793,1.627082356,1.627082356,0.690449133,31.6550413,73.14675424,346.1936911,38.29808419,,
3.492413457,1.6157504,1.6157504,2.967545389,25.99221444,95.82328569,140.4964144,38.19115619,,
3.021013156,1.718816161,1.718816161,0.86718465,44.60639845,124.4307142,205.6837294,37.38523221,,
5.429293825,1.267768981,1.267768981,0.024088904,169.0253863,6.418189408,350.5772837,36.55208864,,
2.58317815,1.81128981,1.81128981,3.002845746,21.71700178,176.8115298,218.7666034,35.49922367,,
6.914494063,1.098873035,1.098873035,0.428185256,182.5040776,42.37441556,223.0676846,34.97389887,,
2.811362392,1.720837071,1.720837071,0.47515448,94.70039731,150.1478727,324.2352967,34.87264965,,
5.225674218,1.24407186,1.24407186,1.896927216,108.0081518,76.48447687,66.22393145,33.87832062,,
2.533155341,1.779092056,1.779092056,2.697966935,161.8585058,100.5737893,101.7119421,33.58514852,,
3.509089977,1.509014895,1.509014895,2.80614728,222.7759929,61.17931306,80.29813029,33.47111396,,
4.328521658,1.357432776,1.357432776,1.288128957,1.68990591,13.5396993,44.53175624,33.40910694,,
2.625229232,1.742575902,1.742575902,1.53156,176.5354699,104.229881,329.5006167,33.39175527,,
2.791476755,1.685289221,1.685289221,1.636513774,213.6175199,17.37455312,107.5398451,33.21020153,,
2.179427974,1.861115881,1.861115881,2.324010537,88.38578213,97.68593899,90.53009506,31.62117184,,
3.768871253,1.413988519,1.413988519,1.632192502,228.8829347,86.59841542,215.9296184,31.56397402,,
2.11215229,1.881569968,1.881569968,1.066151097,274.2451562,86.97803731,248.4448767,31.32236765,,
2.756465367,1.639717136,1.639717136,2.472996529,187.953511,21.63255733,166.8013807,31.04409616,,
2.776191647,1.616363955,1.616363955,1.154302117,18.19628079,70.11173534,359.9613398,30.3820005,,
3.181113194,1.499075116,1.499075116,1.780721284,167.135047,44.31651123,33.08099578,29.94432464,,
2.913449407,1.564314705,1.564314705,1.708552444,76.99430373,113.3009651,86.82892159,29.86375031,,
2.762497322,1.587693555,1.587693555,2.100979302,15.60747576,150.7705137,258.0355464,29.16915436,,
3.028214095,1.509566266,1.509566266,0.740694541,228.3972423,62.46731257,16.18783794,28.90543772,,
3.16948882,1.463104801,1.463104801,0.885315459,314.8936228,118.1298852,253.2381744,28.42030304,,
2.618559142,1.599634191,1.599634191,1.648565168,259.7824794,101.1689072,160.2120095,28.06676464,,
2.610342019,1.590170898,1.590170898,1.520911213,17.92532394,74.81974218,325.6399668,27.64863057,,
