,a,b,c,alpha,phi1,PHI,phi2,volume,,total volume
215,2.950535963,1.828199411,1.828199411,3.067109128,222.0126201,94.26819048,321.5519637,41.30823614,,
216,11.37582909,4.218174525,4.218174525,3.133212201,117.3896855,50.47579473,185.5633989,847.853382,,
217,4.873152203,3.17441134,3.17441134,0.371341534,46.49675584,47.62005395,218.8569049,205.6955939,,
218,0.717296314,0.64319194,0.64319194,1.274843203,149.0101435,53.84756241,341.1206425,1.242992176,,
219,2.664500754,1.926857497,1.926857497,0.468603788,119.5692826,88.55264643,271.0128447,41.43846419,,
220,3.570176348,2.040387898,2.040387898,1.865359145,131.0045025,173.7840452,309.5650821,62.2592315,,
221,4.716693122,1.881700295,1.881700295,1.749644878,38.96439091,101.2834823,320.8608339,69.95634913,,
224,1.168470617,0.756868973,0.756868973,0.404586214,275.7788804,60.91109204,260.7700257,2.803805021,,
226,2.808397331,2.510914777,2.510914777,1.255231582,232.7076929,53.89656079,212.7324796,74.16706721,,
228,0.856800674,0.721769954,0.721769954,2.877996764,159.6894761,110.5809624,206.2076166,1.869674512,,
229,2.791476755,1.685289221,1.685289221,1.636513774,213.6175199,17.37455312,107.5398451,33.21020153,,
230,7.786604808,2.720390263,2.720390263,0.855450142,64.4351042,59.2230065,351.8950999,241.3788236,,
231,4.770638154,1.548177459,1.548177459,0.310361641,245.661474,70.3094015,217.8238111,47.89680744,,
232,0.855568847,0.556500633,0.556500633,0.790257538,23.12407865,167.7530117,159.2019262,1.109877115,,
233,2.674821745,0.826161718,0.826161718,1.656272089,351.788006,103.6442526,256.9626359,7.647396166,,
234,2.625229232,1.742575902,1.742575902,1.53156,176.5354699,104.229881,329.5006167,33.39175527,,
235,4.266941054,1.638312969,1.638312969,1.545707558,294.3689634,113.2815446,78.07416057,47.97323338,,
236,5.928154405,2.626144809,2.626144809,1.695450813,52.86018714,129.5959267,70.97039354,171.2558659,,
237,2.598393164,1.324378818,1.324378818,1.406193846,135.1619965,88.12984876,81.35323253,19.09052741,,
238,5.812578488,2.252149644,2.252149644,0.811291716,319.4294803,95.0732701,204.6082978,123.495726,,
239,4.452998657,1.788610977,1.788610977,0.53089176,54.98466853,67.00959327,4.614840271,59.67232468,,
240,4.743351516,3.693080046,3.693080046,2.164615245,9.150516015,82.73136817,319.6798353,270.9888121,,
241,1.745865002,0.97276395,0.97276395,1.215353478,24.91238769,95.13078611,134.1989242,6.920129216,,
242,3.640274745,1.715096048,1.715096048,1.141617872,1.906090097,84.21400795,343.4620137,44.8538436,,
243,7.046366187,5.576086454,5.576086454,1.986288523,314.8277677,120.4456022,12.81181448,917.7255344,,
244,2.641720816,2.37908241,2.37908241,0.515427153,9.307603753,103.0070748,101.0796894,62.63174324,,
245,1.801683089,1.161936949,1.161936949,1.563727969,92.75650725,24.55130591,175.3332478,10.18901347,,
246,6.686179129,2.188224097,2.188224097,1.06897169,247.4110039,69.30785189,218.3559382,134.1066177,,
247,2.618559142,1.599634191,1.599634191,1.648565168,259.7824794,101.1689072,160.2120095,28.06676464,,
248,4.723158661,4.147339688,4.147339688,2.100552727,87.83213824,78.33814652,104.3720281,340.2987544,,
249,6.373501955,3.261981256,3.261981256,1.303791546,27.74851946,95.32162636,134.2125553,284.072802,,
250,1.557523917,0.894296752,0.894296752,0.05678999,168.6732661,160.7927628,331.8202855,5.217790535,,
251,4.719197686,1.821806331,1.821806331,1.918852611,26.31721868,101.2125144,345.6373704,65.6086639,,
252,3.356954999,1.908417752,1.908417752,0.945114056,288.6359409,47.26563619,309.9122898,51.2130952,,
253,1.359557322,0.81040531,0.81040531,0.53180928,326.7004839,113.0364929,25.52217001,3.74016437,,
254,1.397425526,0.650547645,0.650547645,2.227777776,113.8177903,5.466171944,49.94142229,2.4772823,,
255,6.455716147,3.458633667,3.458633667,1.182885891,52.29266364,105.7201466,322.8112079,323.4760753,,
256,1.352728777,0.71910878,0.71910878,0.547427239,50.03547216,53.41667268,137.8359409,2.930141008,,
257,4.242791525,3.107480155,3.107480155,1.518154793,91.50973961,74.81965518,286.4565848,171.6157053,,
258,2.152788463,1.395359299,1.395359299,1.728214817,114.5693127,88.2635615,272.9935344,17.5574754,,
259,5.036462918,2.446353447,2.446353447,1.026466221,122.2883244,102.8263819,218.8846145,126.2561835,,
260,1.479238419,0.610569126,0.610569126,2.753655391,121.5585037,46.36536207,329.4526247,2.309917487,,
262,1.771785743,1.295851955,1.295851955,1.248993293,136.3323537,169.7357786,32.69730031,12.46265545,,
263,4.911434377,4.552949476,4.552949476,2.500418156,16.72355859,88.71665987,102.0819892,426.4642367,,
264,2.420344318,2.112245095,2.112245095,0.458524564,139.858132,170.0842462,34.82098049,45.23289484,,
265,4.093454235,1.659710983,1.659710983,2.673266667,204.7753993,89.15918748,177.2477058,47.23277746,,
267,2.367186183,0.942978289,0.942978289,1.177695387,194.9770445,104.5915472,326.5790713,8.817072542,,
268,2.077786839,1.228203089,1.228203089,0.959589039,101.811288,54.00914941,185.8777201,13.1289493,,
269,2.071764389,1.459060348,1.459060348,0.064116595,171.5164674,72.11702504,284.2007866,18.47461867,,
270,16.62000021,2.200079192,2.200079192,3.129674156,201.1965465,83.73140645,358.2393522,336.9738979,,
271,17.25680784,1.672657283,1.672657283,3.078995067,293.8164186,142.6498414,224.7246374,202.2381128,,
272,1.362080872,0.57173479,0.57173479,0.013887301,344.5033165,18.06719862,330.171198,1.86500819,,
273,2.741755699,2.181461964,2.181461964,1.186046733,82.27575621,50.16603688,8.586617452,54.65282987,,
274,20.89643275,2.837479065,2.837479065,0.008986357,304.8824842,62.54408793,225.9997517,704.7354123,,
275,3.719437127,3.165292856,3.165292856,0.52574714,228.1079663,57.55655097,140.1245679,156.0966656,,
276,14.92137956,3.532898642,3.532898642,3.129870405,313.5948532,102.9213937,248.1094891,780.1173606,,
277,4.996307977,0.713250404,0.713250404,0.190286044,312.0425469,120.0780145,238.892606,10.64686782,,
278,14.40466318,3.357049427,3.357049427,0.181968462,340.569604,118.2827951,319.191532,679.9973001,,
279,13.71189427,8.55288032,8.55288032,0.071457055,237.9356345,64.14480734,14.18240409,4201.562759,,
280,11.58637678,9.839071159,9.839071159,1.856698168,222.6283631,90.88410227,45.19044386,4698.340194,,
281,25.35632202,6.313892455,6.313892455,0.084421635,241.975928,139.1730515,327.3035138,4234.179142,,
282,5.078987574,1.888997684,1.888997684,2.624015702,97.72555181,68.86173012,325.4824,75.91517729,,
283,8.24903137,3.666697117,3.666697117,2.63016765,198.4520055,73.88618372,113.1402575,464.5598135,,
284,3.993990316,2.080421817,2.080421817,0.290057121,108.4255917,127.1734031,235.6548765,72.40997807,,
285,9.062434555,5.359577663,5.359577663,0.102138105,133.3745743,133.0203121,182.9692733,1090.422061,,
286,5.934783835,3.745179767,3.745179767,2.878393874,282.3372339,66.21237638,76.40197663,348.6894852,,
287,6.057245435,4.021901671,4.021901671,2.07059694,223.8410576,108.2016332,171.8018255,410.4182628,,
288,16.66631083,8.37890805,8.37890805,0.087889369,300.7501231,132.2041875,352.0183276,4901.205763,,
289,5.429293825,1.267768981,1.267768981,0.024088904,169.0253863,6.418189408,350.5772837,36.55208864,,
290,4.011126945,1.883957326,1.883957326,1.16562325,123.1157987,8.420391675,153.0076947,59.63443906,,
291,9.938642816,2.365328645,2.365328645,2.168567723,76.98568079,112.025096,87.08007763,232.9156522,,
292,10.57141444,4.455003371,4.455003371,0.530979664,84.1843398,85.5546384,277.6663326,878.8561223,,
293,29.74499548,18.48510362,18.48510362,0.25729927,354.6226728,105.7697399,348.2957434,42574.18034,,
294,6.235771791,1.403230591,1.403230591,1.51159605,204.6842155,103.0192944,281.2653656,51.43241419,,
295,2.807049371,0.746682482,0.746682482,3.104171124,335.5816104,129.4929344,173.6673882,6.555571911,,
296,5.785524843,1.377568155,1.377568155,0.596423993,15.25738336,168.4930459,306.8021267,45.9893807,,
297,20.85518667,14.85194164,14.85194164,2.679018481,220.2266495,116.7288496,16.420932,19269.44289,,
298,5.155943667,3.3150965,3.3150965,0.839057648,110.2258008,36.94325868,173.389394,237.3499381,,
299,7.318105642,3.96750566,3.96750566,1.06608472,291.6020262,56.4960223,111.9905605,482.5278603,,
300,7.581584315,2.847928968,2.847928968,0.240333479,8.675947797,39.11396251,202.8519576,257.5768838,,
